SKU,Product Name,Product URL,Price,Images,Navigation Categories,Product Color
8564/744,COAT WITH FAUX FUR COLLAR,https://www.zara.com/th/en/coat-with-faux-fur-collar-p08564744.html,"5,990 THB","https://static.zara.net/photos///2019/I/0/1/p/8564/744/800/2/w/560/8564744800_1_1_1.jpg?ts=1570699113601,https://static.zara.net/photos///2019/I/0/1/p/8564/744/800/2/w/560/8564744800_2_1_1.jpg?ts=1570699102191,https://static.zara.net/photos///2019/I/0/1/p/8564/744/800/2/w/560/8564744800_2_2_1.jpg?ts=1570699101673",COATS,Black
3046/274,FUZZY REVERSIBLE COAT,https://www.zara.com/th/en/fuzzy-reversible-coat-p03046274.html, ,"https://static.zara.net/photos///2019/I/0/1/p/3046/274/706/2/w/560/3046274706_1_1_1.jpg?ts=1570788725308,https://static.zara.net/photos///2019/I/0/1/p/3046/274/706/2/w/560/3046274706_2_1_1.jpg?ts=1570788763489,https://static.zara.net/photos///2019/I/0/1/p/3046/274/706/2/w/560/3046274706_2_2_1.jpg?ts=1570788771082",COATS,Mink
8384/825,FROCK COAT WITH ZIPS,https://www.zara.com/th/en/frock-coat-with-zips-p08384825.html,"2,990 THB","https://static.zara.net/photos///2019/I/0/1/p/8384/825/737/2/w/560/8384825737_1_1_1.jpg?ts=1570794626360,https://static.zara.net/photos///2019/I/0/1/p/8384/825/737/2/w/560/8384825737_2_1_1.jpg?ts=1570794624542,https://static.zara.net/photos///2019/I/0/1/p/8384/825/737/2/w/560/8384825737_2_2_1.jpg?ts=1570794667759",COATS,Brown / Taupe
1255/228,MAXI OVERSIZE COAT,https://www.zara.com/th/en/maxi-oversize-coat-p01255228.html, ,"https://static.zara.net/photos///2019/I/0/1/p/1255/228/801/9/w/560/1255228801_1_1_1.jpg?ts=1570182812123,https://static.zara.net/photos///2019/I/0/1/p/1255/228/801/9/w/560/1255228801_2_1_1.jpg?ts=1570182833674,https://static.zara.net/photos///2019/I/0/1/p/1255/228/801/9/w/560/1255228801_2_2_1.jpg?ts=1570182815413",COATS,Dark grey
1255/230,OVERSIZED CHECKED COAT,https://www.zara.com/th/en/oversized-checked-coat-p01255230.html?v1=15872712&v2=1281618, ,"https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/2/w/560/1255230809_1_1_1.jpg?ts=1570185167410,https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/2/w/560/1255230809_2_1_1.jpg?ts=1570185190197,https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/2/w/560/1255230809_2_2_1.jpg?ts=1570185163801",COATS,Mid-grey
1255/230,OVERSIZED CHECKED COAT,https://www.zara.com/th/en/oversized-checked-coat-p01255230.html, ,"https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/9/w/560/1255230809_1_1_1.jpg?ts=1570186517457,https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/9/w/560/1255230809_2_1_1.jpg?ts=1570186543109,https://static.zara.net/photos///2019/I/0/1/p/1255/230/809/9/w/560/1255230809_2_2_1.jpg?ts=1570186549427",COATS,Mid-grey
6873/113,HOUNDSTOOTH COAT,https://www.zara.com/th/en/houndstooth-coat-p06873113.html,"3,490 THB","https://static.zara.net/photos///2019/I/0/1/p/6873/113/084/15/w/560/6873113084_1_1_1.jpg?ts=1569341128804,https://static.zara.net/photos///2019/I/0/1/p/6873/113/084/15/w/560/6873113084_2_1_1.jpg?ts=1569341316580,https://static.zara.net/photos///2019/I/0/1/p/6873/113/084/15/w/560/6873113084_2_2_1.jpg?ts=1569341198653",COATS,Black / White
3046/269,BELTED COAT WITH HOOD,https://www.zara.com/th/en/belted-coat-with-hood-p03046269.html,"2,390 THB","https://static.zara.net/photos///2019/I/0/1/p/3046/269/620/2/w/560/3046269620_1_1_1.jpg?ts=1568732131417,https://static.zara.net/photos///2019/I/0/1/p/3046/269/620/2/w/560/3046269620_2_1_1.jpg?ts=1568732143799,https://static.zara.net/photos///2019/I/0/1/p/3046/269/620/2/w/560/3046269620_2_2_1.jpg?ts=1568732149792",COATS,Pink
6164/201,DENIM OVERSHIRT WITH POCKET,https://www.zara.com/th/en/denim-overshirt-with-pocket-p06164201.html?v1=27504087&v2=1281662, ,"https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_1_1_1.jpg?ts=1570792868819,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_1_1.jpg?ts=1570793056777,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_2_1.jpg?ts=1570793078353",NEW IN,Light blue
6164/201,DENIM OVERSHIRT WITH POCKET,https://www.zara.com/th/en/denim-overshirt-with-pocket-p06164201.html,"1,790 THB","https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_1_1_1.jpg?ts=1570792868819,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_1_1.jpg?ts=1570793056777,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_2_1.jpg?ts=1570793078353",NEW IN,Light blue
6164/199,DENIM MIDI SKIRT,https://www.zara.com/th/en/denim-midi-skirt-p06164199.html,"1,790 THB","https://static.zara.net/photos///2019/I/0/1/p/6164/199/406/2/w/560/6164199406_1_1_1.jpg?ts=1570792835605,https://static.zara.net/photos///2019/I/0/1/p/6164/199/406/2/w/560/6164199406_2_1_1.jpg?ts=1570793077821,https://static.zara.net/photos///2019/I/0/1/p/6164/199/406/2/w/560/6164199406_2_2_1.jpg?ts=1570793111966",NEW IN,Light blue
6164/197,JEANS Z1975 DENIM BEJEWELLED WAIST,https://www.zara.com/th/en/jeans-z1975-denim-bejewelled-waist-p06164197.html?v1=27504062&v2=1281662, ,"https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_1_1_1.jpg?ts=1570792841066,https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_2_1_1.jpg?ts=1570793276569,https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_2_2_1.jpg?ts=1570793270062",NEW IN,Dark blue
6164/197,JEANS Z1975 DENIM BEJEWELLED WAIST,https://www.zara.com/th/en/jeans-z1975-denim-bejewelled-waist-p06164197.html, ,"https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_1_1_1.jpg?ts=1570792841066,https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_2_1_1.jpg?ts=1570793276569,https://static.zara.net/photos///2019/I/0/1/p/6164/197/407/2/w/560/6164197407_2_2_1.jpg?ts=1570793270062",NEW IN,Dark blue
6164/196,DENIM DRESS WITH DIAMANTÉ BELT,https://www.zara.com/th/en/denim-dress-with-diamant%C3%A9-belt-p06164196.html, ,"https://static.zara.net/photos///2019/I/0/1/p/6164/196/427/2/w/560/6164196427_1_1_1.jpg?ts=1570792865042,https://static.zara.net/photos///2019/I/0/1/p/6164/196/427/2/w/560/6164196427_2_5_1.jpg?ts=1570793288173,https://static.zara.net/photos///2019/I/0/1/p/6164/196/427/2/w/560/6164196427_2_1_1.jpg?ts=1570793314088",NEW IN,Mid-blue
6164/198,DENIM DRESS WITH BELT,https://www.zara.com/th/en/denim-dress-with-belt-p06164198.html,"2,390 THB","https://static.zara.net/photos///2019/I/0/1/p/6164/198/406/2/w/560/6164198406_1_1_1.jpg?ts=1570792833334,https://static.zara.net/photos///2019/I/0/1/p/6164/198/406/2/w/560/6164198406_2_1_1.jpg?ts=1570793154417,https://static.zara.net/photos///2019/I/0/1/p/6164/198/406/2/w/560/6164198406_2_2_1.jpg?ts=1570793218663",NEW IN,Light blue
5033/001,OVER-THE-KNEE HIGH-HEEL LEATHER BOOTS,https://www.zara.com/th/en/over-the-knee-high-heel-leather-boots-p15033001.html, ,"https://static.zara.net/photos///2019/I/1/1/p/5032/001/105/4/w/560/5032001105_2_1_1.jpg?ts=1567438325388,https://static.zara.net/photos///2019/I/1/1/p/5032/001/105/4/w/560/5032001105_1_1_1.jpg?ts=1568799645407,https://static.zara.net/photos///2019/I/1/1/p/5032/001/105/4/w/560/5032001105_2_3_1.jpg?ts=1568799645641",NEW IN,leather colour
6164/203,JEANS Z1975 DENIM SLOUCHY BELT,https://www.zara.com/th/en/jeans-z1975-denim-slouchy-belt-p06164203.html,"1,790 THB","https://static.zara.net/photos///2019/I/0/1/p/6164/203/406/2/w/560/6164203406_1_1_1.jpg?ts=1570792795452,https://static.zara.net/photos///2019/I/0/1/p/6164/203/406/2/w/560/6164203406_2_1_1.jpg?ts=1570792877717,https://static.zara.net/photos///2019/I/0/1/p/6164/203/406/2/w/560/6164203406_2_2_1.jpg?ts=1570792900550",NEW IN,Light blue
5536/121,HIGH NECK DRESS,https://www.zara.com/th/en/high-neck-dress-p05536121.html,"1,790 THB","https://static.zara.net/photos///2019/I/0/1/p/5536/121/802/2/w/560/5536121802_1_1_1.jpg?ts=1570794633369,https://static.zara.net/photos///2019/I/0/1/p/5536/121/802/2/w/560/5536121802_2_1_1.jpg?ts=1570794831865,https://static.zara.net/photos///2019/I/0/1/p/5536/121/802/2/w/560/5536121802_2_2_1.jpg?ts=1570794800511",NEW IN,Grey
0068/221,CONTRAST PUFFER JACKET,https://www.zara.com/th/en/contrast-puffer-jacket-p00068221.html, ,"https://static.zara.net/photos///2019/I/0/1/p/0068/221/800/3/w/560/0068221800_1_1_1.jpg?ts=1570792623679,https://static.zara.net/photos///2019/I/0/1/p/0068/221/800/3/w/560/0068221800_2_1_1.jpg?ts=1570792608198,https://static.zara.net/photos///2019/I/0/1/p/0068/221/800/3/w/560/0068221800_2_2_1.jpg?ts=1570792601125",JACKETS,Black
3046/289,FAUX LEATHER BOMBER JACKET,https://www.zara.com/th/en/faux-leather-bomber-jacket-p03046289.html, ,"https://static.zara.net/photos///2019/I/0/1/p/3046/289/704/2/w/560/3046289704_1_1_1.jpg?ts=1570552666183,https://static.zara.net/photos///2019/I/0/1/p/3046/289/704/2/w/560/3046289704_2_1_1.jpg?ts=1570552710709,https://static.zara.net/photos///2019/I/0/1/p/3046/289/704/2/w/560/3046289704_2_2_1.jpg?ts=1570552697824",JACKETS,Camel
6164/201,DENIM OVERSHIRT WITH POCKET,https://www.zara.com/th/en/denim-overshirt-with-pocket-p06164201.html,"1,790 THB","https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_1_1_1.jpg?ts=1570792868819,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_1_1.jpg?ts=1570793056777,https://static.zara.net/photos///2019/I/0/1/p/6164/201/406/2/w/560/6164201406_2_2_1.jpg?ts=1570793078353",JACKETS,Light blue
2740/247,OVERSIZED CORDUROY JACKET,https://www.zara.com/th/en/oversized-corduroy-jacket-p02740247.html, ,"https://static.zara.net/photos///2019/I/0/1/p/2740/247/706/2/w/560/2740247706_1_1_1.jpg?ts=1570785368192,https://static.zara.net/photos///2019/I/0/1/p/2740/247/706/2/w/560/2740247706_2_1_1.jpg?ts=1570785372586,https://static.zara.net/photos///2019/I/0/1/p/2740/247/706/2/w/560/2740247706_2_2_1.jpg?ts=1570785372433",JACKETS,Mink
4661/202,LONG DOUBLE-BREASTED BLAZER,https://www.zara.com/th/en/long-double-breasted-blazer-p04661202.html?v1=20587980&v2=1281521, ,"https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_1_1_1.jpg?ts=1566920945168,https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_2_1_1.jpg?ts=1566920862525,https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_2_2_1.jpg?ts=1566920874069",JACKETS,Black
4661/202,LONG DOUBLE-BREASTED BLAZER,https://www.zara.com/th/en/long-double-breasted-blazer-p04661202.html,"2,390 THB","https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_1_1_1.jpg?ts=1566920945168,https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_2_1_1.jpg?ts=1566920862525,https://static.zara.net/photos///2019/I/0/1/p/4661/202/800/2/w/560/4661202800_2_2_1.jpg?ts=1566920874069",JACKETS,Black
4341/229,LONG QUILTED JACKET,https://www.zara.com/th/en/long-quilted-jacket-p04341229.html,"2,990 THB","https://static.zara.net/photos///2019/I/0/1/p/4341/229/800/3/w/560/4341229800_1_1_1.jpg?ts=1568654905726,https://static.zara.net/photos///2019/I/0/1/p/4341/229/800/3/w/560/4341229800_2_1_1.jpg?ts=1568651633177,https://static.zara.net/photos///2019/I/0/1/p/4341/229/800/3/w/560/4341229800_2_2_1.jpg?ts=1568651614147",JACKETS,Black
6929/206,CROPPED JACKET WITH SHOULDER PADS,https://www.zara.com/th/en/cropped-jacket-with-shoulder-pads-p06929206.html, ,"https://static.zara.net/photos///2019/I/0/1/p/6929/206/400/2/w/560/6929206400_1_1_1.jpg?ts=1568834220821,https://static.zara.net/photos///2019/I/0/1/p/6929/206/400/2/w/560/6929206400_2_1_1.jpg?ts=1568802944464,https://static.zara.net/photos///2019/I/0/1/p/6929/206/400/2/w/560/6929206400_2_2_1.jpg?ts=1568802948471",JACKETS,Blue
7854/124,OVERSIZED HOUNDSTOOTH BLAZER,https://www.zara.com/th/en/oversized-houndstooth-blazer-p07854124.html,"2,990 THB","https://static.zara.net/photos///2019/I/0/1/p/7854/124/050/2/w/560/7854124050_1_1_1.jpg?ts=1568806593751,https://static.zara.net/photos///2019/I/0/1/p/7854/124/050/2/w/560/7854124050_2_1_1.jpg?ts=1568806181938,https://static.zara.net/photos///2019/I/0/1/p/7854/124/050/2/w/560/7854124050_2_2_1.jpg?ts=1568806162737",JACKETS,only one
2969/242,DOUBLE-FACED BIKER JACKET,https://www.zara.com/th/en/double-faced-biker-jacket-p02969242.html,"4,490 THB","https://static.zara.net/photos///2019/I/0/1/p/2969/242/712/3/w/560/2969242712_1_1_1.jpg?ts=1568908920941,https://static.zara.net/photos///2019/I/0/1/p/2969/242/712/3/w/560/2969242712_2_1_1.jpg?ts=1568908943631,https://static.zara.net/photos///2019/I/0/1/p/2969/242/712/3/w/560/2969242712_2_2_1.jpg?ts=1568908937251",JACKETS,Ecru
